% MoM Surface Current Results - Generated: 2025-06-01 15:59:53
% Distance(m)	Magnitude(A/m)	Real(A/m)	Imag(A/m)	Phase(deg)
9.735632	2.426907e-01	-2.356237e-01	5.813961e-02	166.139
9.812898	2.431509e-01	-2.096400e-01	1.231806e-01	149.562
9.890165	2.421037e-01	-1.651219e-01	1.770563e-01	133.002
9.967432	2.431893e-01	-1.029656e-01	2.203160e-01	115.049
10.044699	2.397109e-01	-1.955770e-02	2.389117e-01	94.680
10.121966	2.372822e-01	7.078250e-02	2.264789e-01	72.644
10.199233	2.386602e-01	1.542460e-01	1.821177e-01	49.737
10.276500	2.390039e-01	2.140653e-01	1.062962e-01	26.407
10.353767	2.384906e-01	2.381588e-01	1.257556e-02	3.023
10.431034	2.379370e-01	2.231038e-01	-8.269636e-02	-20.338
10.508301	2.377933e-01	1.717082e-01	-1.645051e-01	-43.773
10.585568	2.379177e-01	9.147981e-02	-2.196276e-01	-67.387
10.662835	2.379476e-01	-4.946422e-03	-2.378962e-01	-91.191
10.740101	2.377313e-01	-1.009277e-01	-2.152435e-01	-115.122
10.817368	2.374160e-01	-1.795313e-01	-1.553540e-01	-139.129
10.894635	2.372176e-01	-2.271218e-01	-6.846788e-02	-163.224
10.971902	2.371781e-01	-2.351751e-01	3.075885e-02	172.549
11.049169	2.371582e-01	-2.014804e-01	1.250987e-01	148.164
11.126436	2.370229e-01	-1.313063e-01	1.973285e-01	123.641
11.203703	2.367856e-01	-3.709273e-02	2.338623e-01	99.013
11.280970	2.365679e-01	6.405334e-02	2.277313e-01	74.290
11.358237	2.364517e-01	1.537095e-01	1.796741e-01	49.453
11.435504	2.363965e-01	2.151520e-01	9.794351e-02	24.476
11.512771	2.362987e-01	2.362839e-01	-2.644079e-03	-0.641
11.590038	2.361132e-01	2.124360e-01	-1.030552e-01	-25.879
11.667304	2.358961e-01	1.477548e-01	-1.838900e-01	-51.218
11.744571	2.357314e-01	5.437268e-02	-2.293750e-01	-76.664
11.821838	2.356362e-01	-4.994088e-02	-2.302831e-01	-102.236
11.899105	2.355503e-01	-1.448412e-01	-1.857551e-01	-127.945
11.976372	2.354076e-01	-2.111905e-01	-1.039969e-01	-153.783
12.053639	2.352087e-01	-2.352062e-01	-1.098575e-03	-179.732
12.130906	2.350156e-01	-2.116128e-01	1.022368e-01	154.213
12.208173	2.348784e-01	-1.447499e-01	1.849738e-01	128.045
12.285440	2.347814e-01	-4.779928e-02	2.298642e-01	101.747
12.362707	2.346670e-01	5.948105e-02	2.270036e-01	75.317
12.439974	2.344997e-01	1.545665e-01	1.763499e-01	48.766
12.517241	2.343018e-01	2.170767e-01	8.817620e-02	22.107
12.594507	2.341276e-01	2.333534e-01	-1.902341e-02	-4.661
12.671774	2.340021e-01	1.994191e-01	-1.224295e-01	-31.547
12.749041	2.338951e-01	1.219926e-01	-1.995613e-01	-58.562
12.826308	2.337588e-01	1.750656e-02	-2.331023e-01	-85.705
12.903575	2.335790e-01	-9.112970e-02	-2.150686e-01	-112.964
12.980842	2.333866e-01	-1.796447e-01	-1.489869e-01	-140.330
13.058109	2.332247e-01	-2.279633e-01	-4.925936e-02	-167.807
13.135376	2.331018e-01	-2.247270e-01	6.192110e-02	164.595
13.212643	2.329832e-01	-1.700311e-01	1.592815e-01	136.870
13.289910	2.328316e-01	-7.588356e-02	2.201187e-01	109.021
13.367177	2.326461e-01	3.615466e-02	2.298196e-01	81.060
13.444444	2.324594e-01	1.399282e-01	1.856273e-01	52.991
13.521710	2.323040e-01	2.108655e-01	9.747248e-02	24.809
13.598977	2.321790e-01	2.317472e-01	-1.415303e-02	-3.495
13.676244	2.320500e-01	1.969540e-01	-1.227041e-01	-31.923
13.753511	2.318883e-01	1.142868e-01	-2.017690e-01	-60.472
13.830778	2.317006e-01	3.512477e-03	-2.316740e-01	-89.131
13.908045	2.315179e-01	-1.083301e-01	-2.046097e-01	-117.899
13.985312	2.313646e-01	-1.935532e-01	-1.267547e-01	-146.780
14.062579	2.312353e-01	-2.306090e-01	-1.700744e-02	-175.782
14.139846	2.310982e-01	-2.096041e-01	9.732678e-02	155.093
14.217113	2.309303e-01	-1.352480e-01	1.871811e-01	125.850
14.294380	2.307419e-01	-2.610919e-02	2.292599e-01	96.497
14.371647	2.305609e-01	8.995268e-02	2.122895e-01	67.036
14.448913	2.304067e-01	1.828867e-01	1.401417e-01	37.462
14.526180	2.302726e-01	2.281597e-01	3.112291e-02	7.768
14.603447	2.301296e-01	2.133006e-01	-8.638579e-02	-22.048
14.680714	2.299583e-01	1.416419e-01	-1.811585e-01	-51.979
14.757981	2.297695e-01	3.189668e-02	-2.275448e-01	-82.020
14.835248	2.295883e-01	-8.663295e-02	-2.126159e-01	-112.169
14.912515	2.294312e-01	-1.818504e-01	-1.398896e-01	-142.430
14.989782	2.292923e-01	-2.274896e-01	-2.869546e-02	-172.811
15.067049	2.291453e-01	-2.104414e-01	9.067523e-02	156.690
15.144316	2.289725e-01	-1.348287e-01	1.850665e-01	126.075
15.221583	2.287836e-01	-2.133571e-02	2.277866e-01	95.351
15.298850	2.286006e-01	9.834247e-02	2.063661e-01	64.520
15.376116	2.284389e-01	1.903210e-01	1.263417e-01	33.578
15.453383	2.282953e-01	2.280749e-01	1.002937e-02	2.518
15.530650	2.281458e-01	2.001942e-01	-1.094203e-01	-28.660
15.607917	2.279730e-01	1.141519e-01	-1.973348e-01	-59.952
15.685184	2.277844e-01	-5.378981e-03	-2.277209e-01	-91.353
15.762451	2.275985e-01	-1.234939e-01	-1.911814e-01	-122.860
15.839718	2.274310e-01	-2.052386e-01	-9.798975e-02	-154.478
15.916985	2.272826e-01	-2.259484e-01	2.459000e-02	173.789
15.994252	2.271314e-01	-1.788342e-01	1.400249e-01	141.940
16.071519	2.269597e-01	-7.753429e-02	2.133053e-01	109.976
16.148786	2.267723e-01	4.752385e-02	2.217367e-01	77.903
16.226053	2.265830e-01	1.581785e-01	1.622327e-01	45.725
16.303319	2.264088e-01	2.202102e-01	5.261594e-02	13.438
16.380586	2.262549e-01	2.139772e-01	-7.351891e-02	-18.962
16.457853	2.261020e-01	1.408236e-01	-1.768921e-01	-51.477
16.535120	2.259326e-01	2.320069e-02	-2.247383e-01	-84.106
16.612387	2.257476e-01	-1.019397e-01	-2.014207e-01	-116.844
16.689654	2.255553e-01	-1.947181e-01	-1.138422e-01	-149.687
16.766921	2.253739e-01	-2.251351e-01	1.037148e-02	177.362
16.844188	2.252135e-01	-1.828959e-01	1.314162e-01	144.302
16.921455	2.250577e-01	-8.112117e-02	2.099294e-01	111.128
16.998722	2.248913e-01	4.737437e-02	2.198449e-01	77.839
17.075989	2.247103e-01	1.604342e-01	1.573391e-01	44.442
17.153256	2.245159e-01	2.204359e-01	4.260763e-02	10.940
17.230522	2.243278e-01	2.069984e-01	-8.645596e-02	-22.669
17.307789	2.241598e-01	1.240995e-01	-1.866733e-01	-56.384
17.385056	2.239990e-01	-8.256310e-04	-2.239975e-01	-90.211
17.462323	2.238354e-01	-1.256590e-01	-1.852353e-01	-124.152
17.539590	2.236599e-01	-2.076677e-01	-8.305346e-02	-158.202
17.616857	2.234653e-01	-2.182881e-01	4.782297e-02	167.643
17.694124	2.232725e-01	-1.533573e-01	1.622718e-01	133.382
17.771391	2.230956e-01	-3.496659e-02	2.203384e-01	99.017
17.848658	2.229269e-01	9.582002e-02	2.012832e-01	64.543
17.925925	2.227651e-01	1.930043e-01	1.112369e-01	29.957
18.003192	2.225952e-01	2.218344e-01	-1.838805e-02	-4.738
18.080459	2.224027e-01	1.715107e-01	-1.415875e-01	-39.541
18.157725	2.222091e-01	5.957754e-02	-2.140733e-01	-74.448
18.234992	2.220230e-01	-7.395293e-02	-2.093446e-01	-109.456
18.312259	2.218432e-01	-1.807675e-01	-1.285983e-01	-144.572
18.389526	2.216816e-01	-2.216803e-01	-7.821370e-04	-179.798
18.466793	2.215148e-01	-1.811634e-01	1.274702e-01	144.869
18.544060	2.213264e-01	-7.361193e-02	2.087263e-01	109.426
18.621327	2.211382e-01	6.140230e-02	2.124426e-01	73.879
18.698594	2.209430e-01	1.735510e-01	1.367327e-01	38.233
18.775861	2.207511e-01	2.205444e-01	9.552029e-03	2.480
18.853128	2.205882e-01	1.842027e-01	-1.213611e-01	-33.379
18.930395	2.204173e-01	7.775902e-02	-2.062457e-01	-69.342
19.007662	2.202349e-01	-5.855621e-02	-2.123078e-01	-105.419
19.084928	2.200595e-01	-1.724558e-01	-1.366937e-01	-141.599
19.162195	2.198533e-01	-2.197024e-01	-8.145419e-03	-177.877
19.239462	2.196544e-01	-1.815345e-01	1.236660e-01	145.736
19.316729	2.194912e-01	-7.237255e-02	2.072163e-01	109.252
19.393996	2.192992e-01	6.534565e-02	2.093373e-01	72.664
19.471263	2.191298e-01	1.773752e-01	1.286697e-01	35.957
19.548530	2.189754e-01	2.189518e-01	-3.214803e-03	-0.841
19.625797	2.187373e-01	1.729609e-01	-1.339049e-01	-37.747
19.703064	2.185672e-01	5.741903e-02	-2.108902e-01	-74.769
19.780331	2.184084e-01	-8.131194e-02	-2.027081e-01	-111.857
19.857598	2.180990e-01	-1.871080e-01	-1.120616e-01	-149.082
19.934865	2.180953e-01	-2.167329e-01	2.433901e-02	173.593
20.012131	2.180172e-01	-1.586488e-01	1.495395e-01	136.693
20.089398	2.194133e-01	-3.838732e-02	2.160292e-01	100.076
20.166665	2.190481e-01	9.802555e-02	1.958905e-01	63.416
20.243932	2.185572e-01	1.951157e-01	9.847388e-02	26.780
20.321199	2.182305e-01	2.149786e-01	-3.753327e-02	-9.903
20.398466	2.180817e-01	1.495920e-01	-1.586879e-01	-46.690
20.475733	2.180102e-01	2.427305e-02	-2.166547e-01	-83.607
20.553000	2.179090e-01	-1.110984e-01	-1.874606e-01	-120.653
20.630267	2.177277e-01	-2.015999e-01	-8.223659e-02	-157.808
20.707534	2.174884e-01	-2.100223e-01	5.649631e-02	164.944
20.784801	2.172455e-01	-1.325815e-01	1.720980e-01	127.610
20.862068	2.170414e-01	-6.949401e-04	2.170403e-01	90.183
